Name,Status,Players,Mechanisms
Humanity,public,2-4,Worker placement|Tile placement
Hungarian Tarokk,public,4-6,Cards|Team|Trick-taking
Hydroracers,public,1-4,Race
Hypnosia,public,2-6,Dice|Race
I'm The Boss,beta,3-6,Hand management|Bluffing
Ice Cold Ice Hockey,public,2,Cards|Hand management
Ice and the Sky,public,2-4,Cards|Hand management|Tile placement|Cooperative|Objectives
Icebreaker,public,2,Area Majority
Illustori,public,3-8,Cards|Communication|Voting
Imhotep,public,2-4,Area Majority|Collection
Impasse,public,2,Race
In The Year of the Dragon,public,2-5,Hand management
Incan Gold,public,3-8,Bluffing|Race|Push your luck
Indian Chief,alpha,1-8,
Innovation,public,2-4,Cards|Combos|Race|Collection
Inori,beta,2-4,Worker placement
Inside Job,alpha,3-5,Cards|Communication|Trick-taking|Roles
Inverted Dice,beta,1-5,Dice
Isaac,public,2,Tile placement
Isle of Trains: All Aboard,public,2-4,Hand management|Drafting
It's a Wonderful Kingdom,beta,2,Bluffing|Engine building|Drafting
It's a Wonderful World,public,1-5,Cards|Drafting
Iwari,public,2-5,Hand management|Area Majority
Jaipur,public,2,Cards|Hand management|Collection
Japanese (Riichi) Mahjong,beta,4,Hand management|Collection
Jekyll vs. Hyde,public,2,Cards|Hand management|Asymmetrical|Trick-taking
Jump Drive,public,1-5,Cards|Hand management|Combos
Jump Gate,public,2-5,Cards|Hand management|Collection
Just Desserts,public,2-5,Cards|Collection
Just One,public,3-7,Cooperative|Communication|Word games
K2,public,2-5,Hand management|Race
KQJ,public,6,Cards|Team|Trick-taking
Kabaleo,public,2-4,Bluffing|Tile placement
Kahuna,public,2,Hand management|Area Majority
Kalah,public,2,
Kami,public,2-4,Cards|Hand management|Team
Kamon,alpha,2,
Karvi,alpha,2-4,Cards|Dice|Resource management
Keyflower,public,2-6,Worker placement|Tile placement|Collection|Auction|Objectives
Khiva,beta,2-5,Cards|Bluffing
Khronos,public,2-5,Tile placement|Area Majority
King of Tokyo,public,2-6,Dice|Race|Random|Push your luck|Player elimination
King of the Pitch,public,2-5,Cards|Dice|Drafting
Kingdom Builder,public,2-5,Area Majority|Conquest
Kingdomino,public,2-4,Tile placement
Kingdoms,public,3-5,Cards|Auction
Kings in the Corner,beta,1-6,Cards|Hand management
Kiri-ai: The Duel,alpha,2,
Klaverjassen,public,4,Cards|Team|Trick-taking
Kmakici Family's greatest teatime,public,2-5,Cards|Collection
Knarr,public,2-4,Cards|Engine building
Knockout Whist,beta,2-7,Cards|Trick-taking|Player elimination
Koi-Koi,public,2,Cards|Hand management|Collection|Push your luck
Konane,public,2,Area Majority
Koryŏ,public,2-4,Area Majority
Kraken Up,public,2-4,Cards|Hand management|Combos|Collection
Krosmaster Arena,public,2,
Krosmaster Blast,public,2,Dice|Area Majority|Asymmetrical|Player elimination
Kulami,public,2,
